Month|Beginning balance|Deposits & withdrawals|Market gain/loss|Income returns|Personal investment returns|Cumulative returns|Ending balance
08/2026|$5,441,634.82|-$3,369.30|$4,274,311.70|$64.93|$4,274,376.63|$9,191,231.76|$9,712,642.15
07/2026|$6,963,914.39|$0.00|-$1,523,417.97|$1,138.40|-$1,522,279.57|$4,916,855.13|$5,441,634.82
06/2026|$6,657,097.35|-$335,000.00|$640,293.67|$1,523.37|$641,817.04|$6,439,134.70|$6,963,914.39
05/2026|$5,977,105.31|$0.00|$677,322.15|$2,669.89|$679,992.04|$5,797,317.66|$6,657,097.35
04/2026|$4,631,033.38|$0.00|$1,338,830.70|$7,241.23|$1,346,071.93|$5,117,325.62|$5,977,105.31
03/2026|$4,614,644.98|-$67,000.00|$61,564.05|$21,824.35|$83,388.40|$3,771,253.69|$4,631,033.38
02/2026|$3,613,362.27|$0.00|$1,000,845.43|$437.28|$1,001,282.71|$3,687,865.29|$4,614,644.98
01/2026|$3,586,355.85|$0.00|$26,525.35|$481.07|$27,006.42|$2,686,582.58|$3,613,362.27
12/2025|$3,000,108.52|-$70,000.00|$656,015.45|$231.88|$656,247.33|$2,659,576.16|$3,586,355.85
11/2025|$2,814,019.84|$0.00|$185,839.37|$249.31|$186,088.68|$2,003,328.83|$3,000,108.52
10/2025|$1,718,780.75|$0.00|$1,093,916.63|$1,322.46|$1,095,239.09|$1,817,240.15|$2,814,019.84
09/2025|$2,085,404.96|$0.00|-$367,059.79|$435.58|-$366,624.21|$722,001.06|$1,718,780.75
08/2025|$1,863,900.56|$0.00|$219,707.77|$1,796.63|$221,504.40|$1,088,625.27|$2,085,404.96
07/2025|$1,643,168.44|$0.00|$219,670.66|$1,061.46|$220,732.12|$867,120.87|$1,863,900.56
06/2025|$1,700,715.59|$0.00|-$57,597.22|$50.07|-$57,547.15|$646,388.75|$1,643,168.44
05/2025|$1,471,106.87|$0.00|$229,544.71|$64.01|$229,608.72|$703,935.90|$1,700,715.59
04/2025|$1,369,050.95|$127,000.00|-$25,233.21|$289.13|-$24,944.08|$474,327.18|$1,471,106.87
03/2025|$555,040.23|$845,000.00|-$32,133.52|$1,144.24|-$30,989.28|$499,271.26|$1,369,050.95
02/2025|$354,153.78|$190,000.00|$10,209.57|$676.88|$10,886.45|$530,260.54|$555,040.23
01/2025|$240,494.78|$110,000.00|$3,130.11|$528.89|$3,659.00|$519,374.09|$354,153.78
12/2024|$247,416.46|$0.00|-$7,405.26|$483.58|-$6,921.68|$515,715.09|$240,494.78
11/2024|$238,942.05|$0.00|$7,992.90|$481.51|$8,474.41|$522,636.77|$247,416.46
10/2024|$240,754.63|$0.00|-$2,325.66|$513.08|-$1,812.58|$514,162.36|$238,942.05
09/2024|$244,129.98|$0.00|-$3,899.34|$523.99|-$3,375.35|$515,974.94|$240,754.63
08/2024|$234,253.31|$0.00|$9,317.58|$559.09|$9,876.67|$519,350.29|$244,129.98
07/2024|$225,801.39|$0.00|$7,893.30|$558.62|$8,451.92|$509,473.62|$234,253.31
06/2024|$227,156.31|$0.00|-$1,892.40|$537.48|-$1,354.92|$501,021.70|$225,801.39
05/2024|$222,204.09|$0.00|$4,399.83|$552.39|$4,952.22|$502,376.62|$227,156.31
04/2024|$227,595.52|$0.00|-$5,923.71|$532.28|-$5,391.43|$497,424.40|$222,204.09
03/2024|$227,289.18|-$3,000.00|$2,768.88|$537.46|$3,306.34|$502,815.83|$227,595.52
02/2024|$220,376.94|$0.00|$6,389.34|$522.90|$6,912.24|$499,509.49|$227,289.18
01/2024|$213,076.75|$0.00|$6,742.92|$557.27|$7,300.19|$492,597.25|$220,376.94
12/2023|$213,351.57|$0.00|-$831.66|$556.84|-$274.82|$485,297.06|$213,076.75
11/2023|$228,091.30|-$20,000.00|$4,648.83|$611.44|$5,260.27|$485,571.88|$213,351.57
10/2023|$233,827.67|$0.00|-$6,186.44|$450.07|-$5,736.37|$480,311.61|$228,091.30
09/2023|$242,088.70|$0.00|-$8,416.08|$155.05|-$8,261.03|$486,047.98|$233,827.67
08/2023|$426,287.41|-$178,865.00|-$5,411.39|$77.68|-$5,333.71|$494,309.01|$242,088.70
07/2023|$398,026.29|$0.00|$27,787.86|$473.26|$28,261.12|$499,642.72|$426,287.41
06/2023|$372,641.85|-$1,600.00|$26,772.85|$211.59|$26,984.44|$471,381.60|$398,026.29
05/2023|$356,678.62|-$500.00|$14,917.41|$1,545.82|$16,463.23|$444,397.16|$372,641.85
04/2023|$331,086.35|$0.00|$25,590.09|$2.18|$25,592.27|$427,933.93|$356,678.62
03/2023|$301,560.71|$0.00|$29,079.50|$446.14|$29,525.64|$402,341.66|$331,086.35
