SUM|BRK|BB|4,807.0000|$64,991.43|$56,065.57|-$6,085.64|$2,840.22
SUM|BRK|BMBL|1,882.0000|$68,764.46|$67,174.77|-$1,589.69|
SUM|BRK|HIMS|200,000.0000|$1,223,903.46|$1,263,162.02|+$63,208.53|$23,949.97
SUM|BRK|MGI|555,947.0000|$2,740,107.27|$3,400,844.81|+$856,086.42|$195,348.88
SUM|BRK|MOMO|1,848.0000|$31,956.70|$25,869.92|-$5,958.06|$128.72
SUM|BRK|MTCH|903.0000|$122,781.36|$115,142.74|-$4,726.22|$2,912.40
SUM|BRK|PXS|184,812.0000|$133,828.10|$122,482.68|-$10,313.02|$1,032.40
SUM|BRK|STNG|17,165.5980|$288,933.66|$253,404.33|-$23,387.10|$12,142.23
SUM|SEP|AMZN|6.0000|$21,535.61|$20,782.75|-$752.86|
SUM|SEP|BRK|373.0000|$80,932.35|$105,291.73|+$24,359.38|
SUM|SEP|HIMS|8,325.0000|$50,734.06|$55,277.72|+$4,543.66|
SUM|SEP|MGI|23,954.0000|$66,169.80|$137,530.44|+$71,360.64|
SUM|SEP|MTCH|117.0000|$15,872.04|$15,025.36|-$846.68|
BRK|BB|02/05/2021|01/15/2021|Sell|500.0000|$5,133.90|$6,278.25|$1,144.35
BRK|BB|02/05/2021|01/19/2021|Sell|1,300.0000|$14,118.00|$16,323.45|$2,205.45
BRK|BB|02/05/2021|01/19/2021|Sell|609.0000|$6,613.74|$8,002.99|$1,389.25
BRK|BB|02/22/2021|01/19/2021|Sell|123.0000|$1,335.78|$1,325.30|-$10.48
BRK|BB|02/22/2021|01/28/2021|Sell|665.0000|$9,994.95|$7,165.21|-$2,829.74
BRK|BB|02/22/2021|01/28/2021|Sell|712.0000|$11,035.93|$7,671.63|-$3,364.30
BRK|BB|03/03/2021|01/28/2021|Sell|110.0000|$1,704.99|$1,139.04|-$565.95
BRK|BB|03/03/2021|01/28/2021|Sell|123.0000|$1,916.97|$1,273.66|-$643.31
BRK|BB|03/03/2021|01/28/2021|Sell|665.0000|$13,137.17|$6,886.04|-$6,251.13
BRK|BMBL|05/14/2021|05/12/2021|Sell|405.0000|$18,819.70|$16,503.67|-$2,316.03
BRK|BMBL|11/24/2021|11/22/2021|Sell|1,000.0000|$33,815.00|$34,304.83|$489.83
BRK|BMBL|11/24/2021|11/22/2021|Sell|477.0000|$16,129.76|$16,366.27|$236.51
BRK|HIMS|12/30/2021|11/22/2021|Sell|5,856.0000|$39,993.68|$36,985.38|-$3,008.30
BRK|HIMS|12/30/2021|11/22/2021|Sell|29,411.0000|$200,821.88|$185,754.29|-$15,067.59
BRK|HIMS|12/30/2021|11/24/2021|Sell|3,731.0000|$24,811.15|$23,564.29|-$1,246.86
BRK|HIMS|12/30/2021|11/24/2021|Sell|7,183.0000|$49,993.68|$45,366.46|-$4,627.22
BRK|HIMS|12/30/2021|12/02/2021|Sell|4,700.0000|$28,482.00|$29,684.31|$1,202.31
BRK|HIMS|12/30/2021|12/02/2021|Sell|2,516.0000|$15,019.52|$15,890.58|$871.06
BRK|HIMS|12/30/2021|12/02/2021|Sell|6,734.0000|$40,038.81|$42,530.67|$2,491.86
BRK|HIMS|12/30/2021|12/02/2021|Sell|3,344.0000|$20,063.67|$21,120.07|$1,056.40
BRK|HIMS|12/30/2021|12/02/2021|Sell|6,666.0000|$39,995.57|$42,101.19|$2,105.62
BRK|HIMS|12/30/2021|12/02/2021|Sell|2,521.0000|$15,024.91|$15,922.16|$897.25
