SUM|BRK|BB|22,371.0000|$150,109.41|$138,613.36|-$11,496.05|
SUM|BRK|CVNA|17,123.0000|$425,414.29|$430,089.75|+$4,675.46|
SUM|BRK|HIMS|208,216.0000|$1,289,705.91|$896,563.68|-$385,168.75|$7,973.48
SUM|BRK|MELI|614.0000|$759,859.47|$628,697.27|-$131,162.20|
SUM|BRK|META|9,310.0000|$1,868,945.54|$1,528,663.21|-$251,528.14|$88,754.19
SUM|BRK|PYPL|2,546.0000|$250,512.86|$196,712.22|-$53,800.64|
SUM|BRK|RAD|23,201.0000|$200,582.82|$213,529.70|+$12,946.88|
SUM|BRK|SE|2,372.0000|$220,759.01|$214,250.73|-$4,739.23|$1,769.05
SUM|BRK|TCS|30,179.0000|$355,077.70|$295,859.31|-$40,869.95|$18,348.44
BRK|BB|03/16/2022|03/09/2022|Sell|13,921.0000|$93,409.91|$89,978.04|-$3,431.87
BRK|BB|05/20/2022|03/09/2022|Sell|4,500.0000|$30,195.00|$26,099.85|-$4,095.15
BRK|BB|05/24/2022|03/09/2022|Sell|3,905.0000|$26,202.55|$22,297.43|-$3,905.12
BRK|BB|06/13/2022|03/09/2022|Sell|45.0000|$301.95|$238.04|-$63.91
BRK|CVNA|06/08/2022|06/07/2022|Sell|7,123.0000|$176,934.61|$179,495.49|$2,560.88
BRK|CVNA|06/08/2022|06/07/2022|Sell|1,715.0000|$42,600.43|$42,976.92|$376.49
BRK|CVNA|06/08/2022|06/07/2022|Sell|8,285.0000|$205,879.25|$207,617.34|$1,738.09
BRK|HIMS|01/20/2022|12/06/2021|Sell|5,856.0000|$37,761.94|$29,792.54|-$7,969.40
BRK|HIMS|01/20/2022|12/06/2021|Sell|6,094.0000|$39,288.13|$31,003.37|-$8,284.76
BRK|HIMS|01/25/2022|12/07/2021|Sell|15,739.0000|$100,424.56|$69,723.41|-$30,701.15
BRK|HIMS|01/25/2022|12/07/2021|Sell|10,286.0000|$65,631.05|$47,623.94|-$18,007.11
BRK|HIMS|01/25/2022|12/07/2021|Sell|2,600.0000|$16,529.61|$12,141.94|-$4,387.67
BRK|HIMS|01/25/2022|12/07/2021|Sell|6,344.0000|$40,332.24|$29,372.57|-$10,959.67
BRK|HIMS|01/25/2022|01/14/2022|Sell|5,856.0000|$38,007.75|$25,941.95|-$12,065.80
BRK|HIMS|01/25/2022|01/14/2022|Sell|3.0000|$19.47|$13.29|-$6.18
BRK|HIMS|01/27/2022|12/06/2021|Sell|173.0000|$1,023.91|$773.31|-$250.60
BRK|HIMS|01/27/2022|12/07/2021|Sell|15,486.0000|$98,452.87|$69,222.06|-$29,230.81
BRK|HIMS|01/31/2022|12/06/2021|Sell|5,495.0000|$35,426.37|$23,683.33|-$11,743.04
BRK|HIMS|01/31/2022|12/06/2021|Sell|8,393.0000|$53,950.25|$36,173.64|-$17,776.61
BRK|HIMS|02/01/2022|12/06/2021|Sell|5,034.0000|$30,254.34|$24,867.83|-$5,386.51
BRK|HIMS|02/01/2022|12/06/2021|Sell|4,623.0000|$27,176.06|$22,837.50|-$4,338.56
BRK|HIMS|02/01/2022|12/06/2021|Sell|8,822.0000|$56,707.87|$43,580.46|-$13,127.41
BRK|HIMS|02/01/2022|12/06/2021|Sell|607.0000|$3,959.04|$2,998.56|-$960.48
BRK|HIMS|02/01/2022|12/06/2021|Sell|3,731.0000|$23,670.17|$18,431.05|-$5,239.12
BRK|HIMS|02/01/2022|12/06/2021|Sell|7,183.0000|$47,797.05|$35,483.84|-$12,313.21
BRK|HIMS|02/07/2022|12/06/2021|Sell|12,378.0000|$72,763.42|$58,193.32|-$14,570.10
BRK|HIMS|02/07/2022|12/06/2021|Sell|4,622.0000|$27,355.46|$21,729.64|-$5,625.82
BRK|HIMS|02/09/2022|12/06/2021|Sell|12,069.0000|$71,430.76|$60,224.00|-$11,206.76
BRK|HIMS|02/09/2022|12/06/2021|Sell|2,931.0000|$17,360.30|$14,625.62|-$2,734.68
BRK|HIMS|05/19/2022|12/06/2021|Sell|13,848.0000|$82,021.66|$46,805.17|-$35,216.49
BRK|HIMS|05/19/2022|12/06/2021|Sell|9,189.0000|$54,895.22|$31,058.11|-$23,837.11
BRK|HIMS|05/19/2022|12/06/2021|Sell|9,963.0000|$60,118.35|$33,674.17|-$26,444.18
BRK|HIMS|05/20/2022|12/06/2021|Sell|6,581.0000|$39,710.81|$22,707.67|-$17,003.14
BRK|HIMS|05/20/2022|12/06/2021|Sell|16,462.0000|$99,759.72|$56,801.95|-$42,957.77
BRK|HIMS|05/20/2022|12/06/2021|Sell|7,848.0000|$47,877.53|$27,079.44|-$20,798.09
BRK|MELI|02/07/2022|01/03/2022|Sell|150.0000|$200,188.50|$157,724.20|-$42,464.30
