SUM|BRK|ABCL|222,347.0000|$910,556.47|$845,856.98|-$37,597.33|$27,102.16
SUM|BRK|AGL|1,122,451.0000|$433,412.18|$620,177.34|+$186,765.16|
SUM|BRK|AGL|116,679.0000|$1,852,625.94|$3,207,088.24|+$1,354,462.30|
SUM|BRK|ASPI|447,083.0000|$2,845,300.60|$2,190,298.29|-$253,032.73|$401,969.58
SUM|BRK|BTDR|13,559.0000|$195,249.60|$171,693.02|-$23,556.58|
SUM|BRK|DARE|165,440.0000|$546,278.29|$448,495.79|-$97,456.21|$326.29
SUM|BRK|DUOL|18,701.0000|$2,083,212.87|$1,905,660.84|-$157,376.14|$20,175.89
SUM|BRK|GOOG|3,625.0000|$1,204,461.00|$1,165,402.01|-$33,591.94|$5,467.05
SUM|BRK|GRAB|35,000.0000|$150,147.75|$144,376.28|-$5,771.47|
SUM|BRK|HIMS|17,880.0000|$497,627.38|$455,042.87|-$41,565.91|$1,018.60
SUM|BRK|HIVE|47,281.0000|$199,552.94|$175,283.62|-$24,269.32|
SUM|BRK|IMMX|430,178.0000|$1,527,893.53|$2,748,117.58|+$1,223,852.72|$3,628.67
SUM|BRK|IREN|3,400.0000|$205,870.00|$184,324.20|-$21,545.80|
SUM|BRK|LLY|50.0000|$52,565.25|$50,741.00|-$1,824.25|
SUM|BRK|MAIA|50,000.0000|$95,962.00|$84,970.00|-$10,992.00|
SUM|BRK|MRAM|21,200.0000|$373,651.52|$453,681.17|+$80,029.65|
SUM|BRK|MU|4,462.0000|$2,929,501.88|$3,261,550.64|+$332,048.76|
SUM|BRK|NAT|226,697.2350|$1,254,746.91|$1,264,547.54|+$18,226.58|$8,425.95
SUM|BRK|NOK|24,366.0000|$364,014.29|$328,021.44|-$30,846.14|$5,146.71
SUM|BRK|SLV|914.0000|$83,023.19|$66,316.41|-$16,706.78|
SUM|BRK|SMXT|473,633.0000|$558,706.50|$363,116.65|-$83,123.70|$112,466.15
SUM|BRK|SMXT|0.5000|$2.04|$2.19|+$0.15|
SUM|BRK|SNAP|83,942.0000|$490,249.29|$477,627.89|-$9,787.67|$2,833.73
SUM|BRK|SNDK|181.0000|$199,717.21|$247,484.69|+$47,767.48|
SUM|BRK|STNG|2,128.6090|$150,785.40|$154,226.23|+$3,458.45|$17.62
SUM|BRK|TE|81,121.0000|$739,565.83|$779,556.75|+$39,990.92|
SUM|SEP|ABCL|15,000.0000|$44,517.93|$92,848.09|+$48,330.16|
SUM|SEP|AGL|547,534.0000|$252,789.88|$295,771.70|+$42,981.82|
SUM|SEP|ASPI|117,048.0000|$632,874.99|$532,828.81|-$100,046.18|
SUM|SEP|CLS|200.0000|$62,055.07|$61,347.00|-$708.07|
SUM|SEP|COPX|246.0000|$21,982.31|$20,117.88|-$1,864.43|
SUM|SEP|DUOL|1,293.0000|$144,924.26|$133,984.37|-$10,939.89|
SUM|SEP|FN|554.0000|$269,657.65|$271,606.15|+$1,948.50|
SUM|SEP|GLD|641.0000|$295,203.23|$258,880.03|-$36,323.20|
SUM|SEP|GOOG|1,069.0000|$347,913.97|$342,309.81|-$5,604.16|
SUM|SEP|GRAB|30,000.0000|$129,404.04|$123,311.38|-$6,092.66|
SUM|SEP|HIMS|1,827.0000|$49,968.45|$47,831.51|-$2,136.94|
SUM|SEP|HIVE|38,043.0000|$140,394.78|$144,560.42|+$4,165.64|
SUM|SEP|IMMX|192,576.0000|$712,218.42|$1,031,197.66|+$318,979.24|
SUM|SEP|LITE|485.0000|$174,769.75|$164,094.14|-$10,675.61|
SUM|SEP|LLY|50.0000|$52,606.50|$50,802.50|-$1,804.00|
SUM|SEP|MAIA|28,000.0000|$54,027.30|$47,350.00|-$6,677.30|
SUM|SEP|MRAM|9,176.0000|$182,255.33|$274,353.89|+$92,098.56|
SUM|SEP|MU|274.0000|$149,500.51|$196,112.83|+$46,612.32|
SUM|SEP|NAT|22,007.2540|$123,820.58|$125,661.03|+$1,840.45|
SUM|SEP|SLV|1,149.0000|$99,433.18|$94,182.67|-$5,250.51|
SUM|SEP|SMXT|364,348.0000|$358,987.49|$283,347.55|-$75,639.94|
SUM|SEP|SNAP|8,183.0000|$49,957.22|$42,347.84|-$7,609.38|
BRK|ABCL|01/12/2026|11/13/2025|Sell|14,000.0000|$51,834.69|$62,860.00|$11,025.31
BRK|ABCL|01/13/2026|11/13/2025|Sell|864.0000|$3,198.94|$3,723.93|$524.99
BRK|ABCL|01/13/2026|12/12/2025|Sell|13,440.0000|$49,971.66|$57,927.78|$7,956.12
BRK|ABCL|02/11/2026|02/06/2026|Sell|8,297.0000|$24,617.46|$25,639.41|$1,021.95
BRK|ABCL|02/11/2026|02/06/2026|Sell|41,703.0000|$124,274.94|$128,870.71|$4,595.77
BRK|ABCL|02/11/2026|02/06/2026|Sell|34,459.0000|$102,687.82|$106,976.29|$4,288.47
BRK|ABCL|02/11/2026|02/06/2026|Sell|7,207.0000|$21,909.28|$22,373.78|$464.50
BRK|ABCL|02/11/2026|02/06/2026|Sell|48,293.0000|$146,810.72|$150,738.77|$3,928.05
BRK|ABCL|02/11/2026|02/09/2026|Sell|15,401.0000|$47,896.04|$48,071.72|$175.68
BRK|ABCL|07/16/2026|06/30/2026|Sell|11,821.0000|$93,685.39|$72,865.22|-$20,820.17
BRK|ABCL|07/16/2026|06/30/2026|Sell|13,431.0000|$133,547.33|$82,789.33|-$50,758.00
BRK|ABCL|07/16/2026|07/02/2026|Sell|13,431.0000|$110,122.20|$83,020.04|-$27,102.16
BRK|AGL|03/05/2026|02/10/2026|Sell|42,553.0000|$20,081.86|$28,122.97|$8,041.11
BRK|AGL|03/05/2026|02/11/2026|Sell|39,150.0000|$18,065.48|$25,873.96|$7,808.48
BRK|AGL|03/05/2026|02/11/2026|Sell|110,850.0000|$51,150.93|$71,001.71|$19,850.78
BRK|AGL|03/05/2026|02/11/2026|Sell|21,951.0000|$9,003.99|$14,060.07|$5,056.08
BRK|AGL|03/05/2026|02/12/2026|Sell|38,349.0000|$13,548.61|$24,563.32|$11,014.71
BRK|AGL|03/05/2026|02/12/2026|Sell|311.0000|$111.03|$199.20|$88.17
BRK|AGL|03/05/2026|02/13/2026|Sell|100.0000|$39.64|$64.05|$24.41
BRK|AGL|03/05/2026|02/13/2026|Sell|700.0000|$279.86|$448.36|$168.50
BRK|AGL|03/05/2026|02/13/2026|Sell|100.0000|$40.00|$64.05|$24.05
BRK|AGL|03/05/2026|02/13/2026|Sell|250,000.0000|$95,547.13|$160,130.15|$64,583.02
BRK|AGL|03/05/2026|02/17/2026|Sell|95,936.0000|$34,026.49|$61,448.98|$27,422.49
BRK|AGL|03/19/2026|02/18/2026|Sell|150,000.0000|$56,933.35|$81,283.28|$24,349.93
BRK|AGL|03/24/2026|02/17/2026|Sell|16,970.0000|$6,018.90|$7,084.12|$1,065.22
BRK|AGL|03/24/2026|02/17/2026|Sell|187,094.0000|$66,358.33|$76,753.76|$10,395.43
BRK|AGL|03/24/2026|02/18/2026|Sell|102,598.0000|$37,235.99|$42,089.97|$4,853.98
BRK|AGL|03/24/2026|02/18/2026|Sell|65,789.0000|$24,970.59|$26,989.39|$2,018.80
BRK|AGL|04/09/2026|04/01/2026|Sell|79.0000|$701.52|$1,540.94|$839.42
BRK|AGL|04/09/2026|04/01/2026|Sell|9,921.0000|$93,724.51|$193,514.68|$99,790.17
BRK|AGL|04/10/2026|04/01/2026|Sell|621.0000|$5,866.64|$12,558.85|$6,692.21
BRK|AGL|04/10/2026|04/01/2026|Sell|2.0000|$18.89|$37.42|$18.53
BRK|AGL|04/14/2026|04/01/2026|Sell|20,000.0000|$188,941.65|$452,491.29|$263,549.64
BRK|AGL|04/14/2026|04/01/2026|Sell|5,456.0000|$51,543.28|$121,400.19|$69,856.91
BRK|AGL|04/14/2026|04/02/2026|Sell|14,544.0000|$150,512.93|$323,615.16|$173,102.23
BRK|AGL|04/14/2026|04/02/2026|Sell|13,464.0000|$139,336.23|$298,776.19|$159,439.96
BRK|AGL|04/20/2026|04/06/2026|Sell|10,000.0000|$141,913.93|$305,704.48|$163,790.55
BRK|AGL|04/20/2026|04/06/2026|Sell|12,000.0000|$170,296.71|$360,486.71|$190,190.00
BRK|AGL|04/23/2026|04/06/2026|Sell|6,000.0000|$85,148.36|$163,856.62|$78,708.26
